image_id,metadata_height,computed_trajectory_height,computed_height_difference,computed_height
1197003347412468,8.6405715145436,10.231,2.72,7.511
1464734177204763,8.5371720160481,8.893,2.72,6.174
170058561705143,8.7956709127382,7.956,2.72,5.236
177246630949005,8.9845381474104,6.21,2.72,3.491
291129559315209,8.6922714142427,10.997,2.72,8.277
3701671393289068,8.5888719157472,9.526,2.72,6.807
468020011157631,9.7901500996016,9.28,2.72,6.561
487967815974661,10.148803669725,13.904,2.72,11.184
509059190130782,9.5887471115538,6.785,2.72,4.065
530796564614344,8.7439713139418,9.919,2.72,7.199
549798756007659,9.1859411354582,4.417,2.72,1.697
595114328129242,9.9777825688073,11.557,2.72,8.837
